State/County Count, City Name, List of State/Counties
7,Roxbury,NY/Delaware VT/Washington ME/Oxford PA/Franklin MA/Suffolk CT/Northwest Hills KS/McPherson
7,Russellville,OH/Brown AR/Pope IN/Putnam TN/Hamblen KY/Logan AL/Franklin MO/Moniteau
7,Rutland,SD/Lake VT/Rutland ND/Sargent IA/Humboldt MA/Worcester IL/LaSalle OH/Meigs
7,Saint Francis,SD/Todd AR/Clay ME/Aroostook MN/Anoka KS/Cheyenne KY/Marion WI/Milwaukee
7,Saint Marys,OH/Auglaize KS/Pottawatomie IA/Warren AK/Kusilvak GA/Camden PA/Elk WV/Pleasants
7,Sanford,NC/Lee ME/York TX/Hutchinson CO/Costilla MI/Midland VA/Accomack FL/Seminole
7,Scranton,IA/Greene AR/Logan ND/Bowman NC/Hyde SC/Florence KS/Osage PA/Lackawanna
7,Selma,NC/Johnston VA/Alleghany IN/Delaware CA/Fresno AL/Dallas OR/Josephine IA/Van Buren
7,Sheffield,AL/Colbert PA/Warren IL/Bureau VT/Caledonia MA/Berkshire TX/Terrell IA/Franklin
7,Shelbyville,MO/Shelby TX/Shelby KY/Shelby MI/Allegan IL/Shelby TN/Bedford IN/Shelby
7,Sheldon,ND/Ransom VT/Franklin WI/Taylor IL/Iroquois IA/Sioux SC/Beaufort MO/Vernon
7,Silver Lake,NH/Carroll IN/Kosciusko MN/McLeod NY/Wyoming KS/Shawnee OR/Lake WI/Kenosha
7,Somerville,MA/Middlesex OH/Butler AL/Morgan TN/Fayette TX/Burleson IN/Gibson NJ/Somerset
7,Strasburg,CO/Adams OH/Tuscarawas MO/Cass VA/Shenandoah ND/Emmons IL/Shelby PA/Lancaster
7,Sullivan,IL/Moultrie OH/Ashland NH/Cheshire WI/Jefferson ME/Hancock IN/Sullivan MO/Franklin
7,Summerfield,FL/Marion TX/Castro KS/Marshall IL/St. Clair LA/Claiborne NC/Guilford OH/Noble
7,Syracuse,NE/Otoe NY/Onondaga IN/Kosciusko UT/Davis MO/Morgan OH/Meigs KS/Hamilton
7,Thompson,OH/Geauga PA/Susquehanna UT/Grand MO/Audrain CT/Northeastern Connecticut IA/Winnebago ND/Grand Forks
7,Victor,CA/San Joaquin WV/Fayette IA/Iowa NY/Ontario CO/Teller ID/Teton MT/Ravalli
7,Viola,DE/Kent KS/Sedgwick WI/Richland TN/Warren IL/Mercer AR/Fulton ID/Latah
7,Walton,NY/Delaware WV/Roane NE/Lancaster OR/Lane KS/Harvey IN/Cass KY/Boone
7,Watertown,TN/Wilson MN/Carver SD/Codington WI/Jefferson MA/Middlesex NY/Jefferson CT/Naugatuck Valley WI/Dodge
7,Watson,AR/Desha AL/Jefferson LA/Livingston OK/McCurtain IL/Effingham MO/Atchison MN/Chippewa
7,Wayland,OH/Portage MI/Allegan IA/Henry MA/Middlesex MO/Clark NY/Steuben KY/Floyd
7,Wells,ME/York MN/Faribault NV/Elko VT/Rutland MI/Delta NY/Hamilton TX/Cherokee
7,Williams,AZ/Coconino SC/Colleton CA/Colusa IA/Hamilton IN/Lawrence MN/Lake of the Woods OR/Josephine
